pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
PW570,57442T,574422,5,1
PW571,57442R,574422,5,1
PW572,57442T,574423,2,1
PW573,57442R,574423,2,1
PW574,57442T,574423,4,1
PW575,57442R,574423,4,1
PW576,57442T,574423,5,1
PW577,57442R,574423,5,1
PW578,57442T,574424,2,1
PW579,57442R,574424,2,1
PW58,14703T,147034,2,1
PW580,57442T,574424,4,0
PW581,57442R,574424,4,0
PW582,57442T,574424,5,1
PW583,57442R,574424,5,1
PW584,9901T,99011,1,1
PW585,9901R,99011,1,1
PW586,9901T,99012,1,1
PW587,9901R,99012,1,1
PW588,9901T,99013,1,1
PW589,9901R,99013,1,1
PW59,14703R,147034,2,1
PW590,9901T,99014,1,1
PW591,9901R,99014,1,1
PW592,9901T,99015,1,1
PW593,9901R,99015,1,1
PW594,9902T,99021,1,1
PW595,9902R,99021,1,1
PW596,9902T,99022,1,1
PW597,9902R,99022,1,1
PW598,9902T,99023,1,1
PW599,9902R,99023,1,1
PW6,14698T,146982,2,1
PW60,14703T,147035,2,1
PW600,9902T,99024,1,1
PW601,9902R,99024,1,1
PW602,9902T,99025,1,1
PW603,9902R,99025,1,1
PW604,9903T,99031,1,1
PW605,9903R,99031,1,1
PW606,9903T,99032,1,1
PW607,9903R,99032,1,1
PW608,9903T,99033,1,1
PW609,9903R,99033,1,1
PW61,14703R,147035,2,1
PW610,9903T,99034,1,1
PW611,9903R,99034,1,1
PW612,9904T,99041,1,1
PW613,9904R,99041,1,1
PW614,9904T,99042,1,1
PW615,9904R,99042,1,1
PW616,9904T,99043,1,1
PW617,9904R,99043,1,1
PW618,9904T,99044,1,1
PW619,9904R,99044,1,1
PW62,14703T,147036,2,1
PW620,9905T,99051,1,1
PW621,9905R,99051,1,1
PW622,9905T,99052,1,1
PW623,9905R,99052,1,1
PW624,9905T,99053,1,1
PW625,9905R,99053,1,1
PW626,9906T,99061,1,1
PW627,9906R,99061,1,1
PW628,9906T,99062,1,1
PW629,9906R,99062,1,1
PW63,14703R,147036,2,1
PW630,9906T,99063,1,1
PW631,9906R,99063,1,1
PW632,9906T,99064,1,1
PW633,9906R,99064,1,1
PW634,9907T,99071,1,1
PW635,9907R,99071,1,1
PW636,9907T,99072,1,1
PW637,9907R,99072,1,1
PW638,9907T,99073,1,1
PW639,9907R,99073,1,1
PW64,14703T,147037,4,1
PW640,9907T,99074,1,1
PW641,9907R,99074,1,1
PW642,9907T,99075,1,1
PW643,9907R,99075,1,1
PW644,9907T,99076,1,1
PW645,9907R,99076,1,1
PW646,9908T,99081,1,1
PW647,9908R,99081,1,1
PW648,9908T,99082,1,1
PW649,9908R,99082,1,1
PW65,14703R,147037,4,1
PW650,9908T,99083,1,1
PW651,9908R,99083,1,1
PW652,9909T,99091,1,1
PW653,9909R,99091,1,1
PW654,9909T,99092,1,1
PW655,9909R,99092,1,1
PW656,9909T,99093,1,1
PW657,9909R,99093,1,1
PW658,9909T,99094,1,1
PW659,9909R,99094,1,1
PW66,14704T,147041,2,1
PW660,9910T,99101,1,1
PW661,9910R,99101,1,1
PW662,9910T,99102,1,1
PW663,9910R,99102,1,1
PW67,14704R,147041,2,1
PW68,14704T,147041,4,0
PW69,14704R,147041,4,0
PW7,14698R,146982,2,1
PW70,14705T,147051,2,1
PW71,14705R,147051,2,1
PW72,14705T,147051,5,1
PW73,14705R,147051,5,1
PW74,14705T,147052,2,1
PW75,14705R,147052,2,1
PW76,14706T,147061,2,1
PW77,14706R,147061,2,1
PW78,14706T,147061,4,0
PW79,14706R,147061,4,0
PW8,14698T,146983,2,1
PW80,14706T,147062,2,1
PW81,14706R,147062,2,1
PW82,14706T,147062,4,0
PW83,14706R,147062,4,0
PW84,14706T,147062,5,1
PW85,14706R,147062,5,1
PW86,14706T,147063,5,1
PW87,14706R,147063,5,1
PW88,14707T,147071,2,1
PW89,14707R,147071,2,1
PW9,14698R,146983,2,1
PW90,14707T,147071,4,0
PW91,14707R,147071,4,0
PW92,14707T,147072,2,1
PW93,14707R,147072,2,1
PW94,14707T,147072,4,0
PW95,14707R,147072,4,0
PW96,14707T,147072,5,1
PW97,14707R,147072,5,1
PW98,14707T,147073,5,1
PW99,14707R,147073,5,1
PWE100,9910T,147081,2,1
PWE101,9910R,147081,2,1
PWE102,9910T,147081,5,1
PWE103,9910R,147081,5,1
PWE104,9910T,147082,2,1
PWE105,9910R,147082,2,1
PWE106,9910T,147083,2,1
PWE107,9910R,147083,2,1
PWE108,9910T,147083,4,0
PWE109,9910R,147083,4,0
PWE110,9910T,147083,5,1
PWE111,9910R,147083,5,1
PWE112,9910T,147084,2,1
PWE113,9910R,147084,2,1
PWE114,9910T,147084,4,0
PWE115,9910R,147084,4,0
PWE116,9910T,147085,2,1
PWE117,9910R,147085,2,1
PWE118,9910T,147086,2,1
PWE119,9910R,147086,2,1
PWE128,14726T,147101,2,1
PWE129,14726R,147101,2,1
PWE130,14726T,147102,5,1
PWE131,14726R,147102,5,1
PWE132,14726T,147103,2,1
PWE133,14726R,147103,2,1
PWE134,14726T,147103,4,0
PWE135,14726R,147103,4,0
PWE136,14726T,147104,2,1
PWE137,14726R,147104,2,1
PWE170,14715T,147141,2,1
PWE172,14715T,147141,4,0
PWE174,14715T,147142,2,1
PWE176,14715T,147142,4,0
PWE178,14715T,147142,5,1
PWE180,14715T,147143,4,0
PWE182,14715T,147144,5,1
PWE264,14714T,147151,2,1
PWE266,14714T,147151,4,0
PWE388,14710T,147261,2,1
PWE389,14710R,147261,2,1
PWE390,14710T,147261,5,1
PWE391,14710R,147261,5,1
PWE392,14710T,147262,2,1
PWE393,14710R,147262,2,1
PWE394,14710T,147262,5,1
PWE395,14710R,147262,5,1
PWE396,14710T,147263,5,1
PWE397,14710R,147263,5,1
PWE398,14710T,147264,4,1
PWE399,14710R,147264,4,1
PWE400,14710T,147265,2,1
PWE42,14702T,147231,2,1
PWE424,14723T,147021,2,1
PWE425,14723R,147021,2,1
PWE426,14723T,147022,2,1
PWE427,14723R,147022,2,1
PWE428,14723T,147022,4,0
PWE429,14723R,147022,4,0
PWE43,14702R,147231,2,1
PWE44,14702T,147231,5,1
PWE45,14702R,147231,5,1
PWE470,14704T,147431,2,1
PWE471,14704R,147431,2,1
PWE472,14704T,147431,4,0
PWE473,14704R,147431,4,0
PWE474,14704T,147432,2,1
PWE475,14704R,147432,2,1
PWE476,14704T,147432,4,0
PWE477,14704R,147432,4,0
PWE478,14704T,147432,5,1
PWE479,14704R,147432,5,1
PWE480,14704T,147433,2,1
PWE481,14704R,147433,2,1
PWE482,14704T,147433,4,0
PWE483,14704R,147433,4,0
PWE484,14704T,147434,2,1
PWE485,14704R,147434,2,1
PWE486,14704T,147434,4,0
PWE487,14704R,147434,4,0
PWE488,14704T,147434,5,1
PWE489,14704R,147434,5,1
PWE490,14704T,147435,5,1
PWE491,14704R,147435,5,1
PWE66,14743T,147041,2,1
PWE660,14708T,99101,1,1
PWE661,14708R,99101,1,1
PWE662,14708T,99102,1,1
PWE663,14708R,99102,1,1
PWE664,14708A,99101,1,1
PWE665,14708A,99102,1,1
PWE666,14783T,147831,4,1
PWE667,14783T,147831,5,1
PWE668,14783T,147832,2,1
PWE669,14783T,147833,2,1
PWE67,14743R,147041,2,1
PWE670,14783T,147834,2,1
PWE671,14783T,147834,5,1
PWE672,14783T,147834,4,0
PWE673,14783T,147835,2,1
PWE674,14783T,147835,5,1
PWE675,14783T,147835,4,0
PWE676,14783R,147831,4,1
PWE677,14783R,147831,5,1
PWE678,14783R,147832,2,1
PWE679,14783R,147833,2,1
PWE68,14743T,147041,4,0
PWE680,14783R,147834,2,1
PWE681,14783R,147834,5,1
PWE682,14783R,147834,4,0
PWE683,14783R,147835,2,1
PWE684,14783R,147835,5,1
PWE685,14783R,147835,4,0
PWE69,14743R,147041,4,0
